Mã khách hàng,Tài khoản,Trạng thái xác minh,Pause date,Mã đơn vị tiền tệ,Spend (last 7 days),Spend(last 7 days) (Converted currency),Hồ sơ thanh toán,Người quản lý trực tiếp,Mã khách hàng của người quản lý trực tiếp,Ad disclosure name,Ad disclosure country,Verification type
176-755-0231,JP_USD,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_06,801-921-1223, --, --, --
645-207-9562,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_09,770-155-8935, --, --, --
448-635-7843,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
790-421-6872,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
314-307-9180,JP_USD,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
699-896-8707,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_06,801-921-1223, --, --, --
132-441-1052,JP_USD,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
810-780-0656,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_06,801-921-1223, --, --, --
948-654-4042,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_03,874-038-3513, --, --, --
499-652-7329,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_09,770-155-8935, --, --, --
947-594-5576,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
145-135-3370,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
636-881-5362,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
294-661-9350,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_06,801-921-1223, --, --, --
124-678-6056,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
960-729-9594,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_06,801-921-1223, --, --, --
916-808-1288,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_04,820-968-0033, --, --, --
986-504-2700,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
932-003-7391,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_03,874-038-3513, --, --, --
345-711-9831,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
611-252-5797,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_04,820-968-0033, --, --, --
827-119-5952,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
114-746-7643,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
677-677-5429,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_03,874-038-3513, --, --, --
129-338-7347,JP_USD,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
101-260-6976,JP_USD,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_06,801-921-1223, --, --, --
114-446-0323,JP_USD,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
451-334-5299,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
678-332-6295,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
201-952-3619,JP_USD,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
392-078-1658,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
164-671-9962,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_JP_03,874-038-3513, --, --, --
374-415-9794,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
109-253-0017,JP_USD,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
126-026-7964,Ads_Agency,Chưa bắt đầu – việc cần làm,"26 thg 11, 2024",USD,"0,00","US$0,00",SOCIALFI JOINT STOCK COMPANY,MCC_HDG_00,938-408-2127, --, --, --
